Date.x,Player,Country,Runs.x,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings.x,Participation.x,Opposition.x,Ground,Team.x,Opponent.x,ID,OutPenalty,BattingImpact,Date.y,Overs,Maidens,Runs.y,Wickets,Economy,Innings.y,Participation.y,Opposition.y,Team.y,Opponent.y,BowlingImpact
6/17/24,N Pooran ,WI,98,FALSE,86,53,6,8,184.9056604,1,B,AFG,Gros Islet,AFG WI,AFG,2703,0.5,18.92264151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/9/16,HM Amla ,RSA,97,TRUE,81,62,8,4,156.4516129,1,B,AUS,Cape Town,AUS RSA,AUS,526,0,17.18629032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/2/18,Babar Azam ,PAK,97,TRUE,NA,58,13,1,167.2413793,1,B,WI,Karachi,PAK WI,WI,664,0,17.45603448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/26/25,TL Seifert ,NZL,97,TRUE,53,38,6,10,255.2631579,2,B,PAK,Wellington,NZL PAK,PAK,3128,0,22.05657895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/18,RG Sharma ,IND,97,FALSE,87,61,8,5,159.0163934,1,B,IRE,Dublin (Malahide),IND IRE,IRE,678,0.5,17.25040984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/25/21,MJ Guptill ,NZL,97,FALSE,62,50,6,8,194,1,B,AUS,Dunedin,AUS NZL,AUS,1124,0.5,19.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/09,TM Dilshan ,SL,96,TRUE,90,57,12,2,168.4210526,1,B,WI,The Oval,SL WI,WI,115,0,17.56052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/10/10,JP Duminy ,RSA,96,TRUE,73,54,10,4,177.7777778,1,B,ZIM,Kimberley,RSA ZIM,ZIM,189,0,18.19444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/28/22,RR Rossouw ,RSA,96,TRUE,80,55,10,5,174.5454545,1,B,ENG,Cardiff,ENG RSA,ENG,1698,0,18.61363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/9/06,DR Martyn ,AUS,96,FALSE,79,56,7,5,171.4285714,1,B,RSA,Brisbane,AUS RSA,RSA,4,0.5,17.13571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/6/25,JC Buttler ,ENG,96,FALSE,81,59,6,4,162.7118644,1,B,WI,Chester-le-Street,ENG WI,WI,3205,0.5,16.11779661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/15/20,PR Stirling ,IRE,95,FALSE,NA,47,6,8,202.1276596,1,B,WI,St George's,IRE WI,WI,1028,0.5,18.97819149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/29/20,KS Williamson ,NZL,95,FALSE,68,48,8,6,197.9166667,2,B,IND,Hamilton,IND NZL,IND,NA,0.5,18.47291667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/8/17,CJ Anderson ,NZL,94,TRUE,68,41,2,10,229.2682927,1,B,BAN,Mount Maunganui,BAN NZL,BAN,576,0,19.83170732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/6/19,V Kohli ,IND,94,TRUE,NA,50,6,6,188,2,B,WI,Hyderabad,IND WI,WI,1020,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/6/21,HE van der Dussen ,RSA,94,TRUE,93,60,5,6,156.6666667,1,B,ENG,Sharjah,ENG RSA,ENG,1400,0,16.91666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/09,LE Bosman ,RSA,94,FALSE,81,45,5,9,208.8888889,1,B,ENG,Centurion,ENG RSA,ENG,125,0.5,19.22222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/31/13,AD Hales ,ENG,94,FALSE,80,61,11,2,154.0983607,1,B,AUS,Chester-le-Street,AUS ENG,AUS,329,0.5,16.15245902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
