"Date","Player","Country","Runs","NotOut","Minutes","BallsFaced","Fours","Sixes","StrikeRate","Innings","Participation","Opposition","Ground"
2018-10-26,"Faheem Ashraf ","Pakistan",17,TRUE,NA,10,1,1,170,1,"B","Australia","Dubai (DICS)"
2019-01-24,"Abdul Wahid ","KSA",17,TRUE,NA,10,1,1,170,2,"B","Kuwait","Al Amerat"
2019-01-24,"Muhammad Naeem ","KSA",17,TRUE,NA,21,2,0,80.952380952381,2,"B","Qatar","Al Amerat"
2019-02-23,"Simi Singh ","Ireland",17,TRUE,NA,12,1,1,141.666666666667,2,"B","Afghanistan","Dehradun"
2019-04-27,"RK Inampud ","Mex",17,TRUE,NA,22,0,1,77.2727272727273,2,"B","Panama","Naucalpan"
2019-06-16,"OD Hald ","DEN",17,TRUE,NA,7,3,0,242.857142857143,2,"B","Jersey","Castel"
2019-06-23,"CB Mpofu ","Zimbabwe",17,TRUE,9,9,3,0,188.888888888889,2,"B","Netherlands","Rotterdam"
2019-08-19,"LHB Harrington-Myers ","CAY",17,TRUE,NA,18,0,1,94.4444444444444,1,"B","United States of America","Hamilton"
2019-08-23,"L Louwrens ","Namibia",17,TRUE,NA,15,1,1,113.333333333333,2,"B","Botswana","Windhoek"
2019-08-30,"K Mendon ","CZK-R",17,TRUE,NA,23,1,0,73.9130434782609,1,"B","Austria","Ilfov County"
2019-09-01,"MD Shanaka ","Sri Lanka",17,TRUE,NA,12,0,1,141.666666666667,1,"B","New Zealand","Pallekele"
2019-10-04,"S Muniandy ","MAS",17,TRUE,NA,5,2,1,340,1,"B","Vanuatu","Kuala Lumpur"
2019-10-09,"Iftikhar Ahmed ","Pakistan",17,TRUE,NA,8,1,1,212.5,2,"B","Sri Lanka","Lahore"
2019-10-10,"AW Hawkins-Kay ","JER",17,TRUE,NA,19,1,0,89.4736842105263,1,"B","Qatar","Doha"
2019-10-22,"SM Sharif ","Scotland",17,TRUE,NA,10,2,0,170,2,"B","Namibia","ICCA Dubai"
2019-10-27,"Haroon Arshad ","Hong Kong",17,TRUE,NA,9,1,1,188.888888888889,2,"B","Nigeria","Tolerance Oval"
