Team 1,Team 2,Winner,Margin,Ground,Match Date,ID
Afghanistan,Pakistan,Pakistan,1 wicket,Sharjah,7-Sep-22,1760
India,Sri Lanka,Sri Lanka,6 wickets,Dubai (DICS),6-Sep-22,1759
India,Pakistan,Pakistan,5 wickets,Dubai (DICS),4-Sep-22,1758
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah,3-Sep-22,1757
Hong Kong,Pakistan,Pakistan,155 runs,Sharjah,2-Sep-22,1756
Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dubai (DICS),1-Sep-22,1755
Hong Kong,India,India,40 runs,Dubai (DICS),31-Aug-22,1754
Afghanistan,Bangladesh,Afghanistan,7 wickets,Sharjah,30-Aug-22,1753
Kenya,Nepal,Nepal,31 runs,Nairobi (Gym),30-Aug-22,1752
Kenya,Nepal,Kenya,7 runs,Nairobi (Gym),29-Aug-22,1751
India,Pakistan,India,5 wickets,Dubai (DICS),28-Aug-22,1750
Kenya,Nepal,Nepal,4 wickets,Nairobi (Gym),28-Aug-22,1749
Afghanistan,Sri Lanka,Afghanistan,8 wickets,Dubai (DICS),27-Aug-22,1748
Kenya,Nepal,Kenya,18 runs,Nairobi (Gym),26-Aug-22,1747
Kenya,Nepal,Nepal,5 wickets,Nairobi (Gym),25-Aug-22,1746
Hong Kong,U.A.E.,Hong Kong,8 wickets,Al Amerat,24-Aug-22,1745
Kuwait,Singapore,Kuwait,6 wickets,Al Amerat,24-Aug-22,1744
Hong Kong,Kuwait,Hong Kong,8 wickets,Al Amerat,23-Aug-22,1743
Singapore,U.A.E.,U.A.E.,47 runs,Al Amerat,22-Aug-22,1742
Kuwait,U.A.E.,Kuwait,1 wicket,Al Amerat,21-Aug-22,1741
Hong Kong,Singapore,Hong Kong,8 runs,Al Amerat,20-Aug-22,1740
Bahrain,Kuwait,Kuwait,102 runs,Al Amerat,17-Aug-22,1739
Ireland,Afghanistan,Ireland,7 wickets,Belfast,17-Aug-22,1738
Bahrain,Kuwait,Kuwait,4 wickets,Al Amerat,16-Aug-22,1737
Ireland,Afghanistan,Afghanistan,27 runs,Belfast,15-Aug-22,1736
West Indies,New Zealand,West Indies,8 wickets,Kingston,14-Aug-22,1735
Bahrain,Kuwait,Kuwait,5 wickets,Al Amerat,14-Aug-22,1734
Bahrain,Kuwait,Kuwait,20 runs,Al Amerat,13-Aug-22,1733
West Indies,New Zealand,New Zealand,90 runs,Kingston,12-Aug-22,1732
Ireland,Afghanistan,Afghanistan,22 runs,Belfast,12-Aug-22,1731
Bahrain,Kuwait,tied,-,Al Amerat,11-Aug-22,1730
Ireland,Afghanistan,Ireland,5 wickets,Belfast,11-Aug-22,1729
West Indies,New Zealand,New Zealand,13 runs,Kingston,10-Aug-22,1728
Ireland,Afghanistan,Ireland,7 wickets,Belfast,9-Aug-22,1727
India,West Indies,India,88 runs,Lauderhill,7-Aug-22,1726
India,West Indies,India,59 runs,Lauderhill,6-Aug-22,1725
Ireland,South Africa,South Africa,44 runs,Bristol,5-Aug-22,1724
Netherlands,New Zealand,New Zealand,8 wickets,The Hague,5-Aug-22,1723
Netherlands,New Zealand,New Zealand,16 runs,The Hague,4-Aug-22,1722
Ireland,South Africa,South Africa,21 runs,Bristol,3-Aug-22,1721
West Indies,India,India,7 wickets,Basseterre,2-Aug-22,1720
Zimbabwe,Bangladesh,Zimbabwe,10 runs,Harare,2-Aug-22,1719
West Indies,India,West Indies,5 wickets,Basseterre,1-Aug-22,1718
England,South Africa,South Africa,90 runs,Southampton,31-Jul-22,1717
Austria,Norway,Austria,9 wickets,Kerava,31-Jul-22,1716
Luxembourg,Switzerland,Luxembourg,7 runs,Vantaa,31-Jul-22,1715
Eswatini,Mozambique,Mozambique,43 runs,Malkerns,31-Jul-22,1714
Zimbabwe,Bangladesh,Bangladesh,7 wickets,Harare,31-Jul-22,1713
Bulgaria,Czech Rep.,Czech Rep.,4 wickets,Vantaa,31-Jul-22,1712
France,Guernsey,Guernsey,56 runs,Kerava,31-Jul-22,1711
Eswatini,Mozambique,Mozambique,94 runs,Malkerns,31-Jul-22,1710
Luxembourg,Slovenia,Luxembourg,5 runs,Vantaa,30-Jul-22,1709
Estonia,France,France,25 runs,Kerava,30-Jul-22,1708
Eswatini,Mozambique,Mozambique,95 runs,Malkerns,30-Jul-22,1707
Zimbabwe,Bangladesh,Zimbabwe,17 runs,Harare,30-Jul-22,1706
Austria,Bulgaria,Austria,158 runs,Vantaa,30-Jul-22,1705
Czech Rep.,Switzerland,Czech Rep.,7 wickets,Kerava,30-Jul-22,1704
Eswatini,Mozambique,Mozambique,8 wickets,Malkerns,30-Jul-22,1703
West Indies,India,India,68 runs,Tarouba,29-Jul-22,1702
Scotland,New Zealand,New Zealand,102 runs,Edinburgh,29-Jul-22,1701
Eswatini,Mozambique,Mozambique,7 wickets,Malkerns,29-Jul-22,1700
Eswatini,Mozambique,Mozambique,8 wickets,Malkerns,29-Jul-22,1699
England,South Africa,South Africa,58 runs,Cardiff,28-Jul-22,1698
Czech Rep.,Estonia,Czech Rep.,42 runs,Vantaa,28-Jul-22,1697
Guernsey,Slovenia,Guernsey,9 wickets,Kerava,28-Jul-22,1696
Bulgaria,Luxembourg,Luxembourg,21 runs,Kerava,28-Jul-22,1695
Norway,Switzerland,Norway,12 runs,Vantaa,28-Jul-22,1694
England,South Africa,England,41 runs,Bristol,27-Jul-22,1693
Scotland,New Zealand,New Zealand,68 runs,Edinburgh,27-Jul-22,1692
Bulgaria,Slovenia,Bulgaria,3 wickets,Vantaa,27-Jul-22,1691
France,Norway,France,11 runs,Kerava,27-Jul-22,1690
Austria,Guernsey,Austria,2 wickets,Vantaa,27-Jul-22,1689
Estonia,Switzerland,Switzerland,31 runs,Kerava,27-Jul-22,1688
France,Switzerland,Switzerland,1 wicket,Vantaa,25-Jul-22,1687
Guernsey,Luxembourg,Guernsey,17 runs,Kerava,25-Jul-22,1686
Austria,Slovenia,Austria,141 runs,Kerava,25-Jul-22,1685
Czech Rep.,Norway,Norway,120 runs,Vantaa,25-Jul-22,1684
Bulgaria,Guernsey,Guernsey,52 runs,Vantaa,24-Jul-22,1683
Czech Rep.,France,France,51 runs,Kerava,24-Jul-22,1682
Austria,Luxembourg,Austria,36 runs,Vantaa,24-Jul-22,1681
Estonia,Norway,Norway,10 wickets,Kerava,24-Jul-22,1680
Ireland,New Zealand,New Zealand,6 wickets,Belfast,22-Jul-22,1679
Ireland,New Zealand,New Zealand,88 runs,Belfast,20-Jul-22,1678
Isle of Man,Italy,Italy,7 wickets,Kerava,19-Jul-22,1677
Romania,Sweden,Sweden,8 wickets,Vantaa,19-Jul-22,1676
Croatia,Serbia,Croatia,3 wickets,Vantaa,19-Jul-22,1675
Finland,Cyprus,Finland,11 runs,Kerava,19-Jul-22,1674
Ireland,New Zealand,New Zealand,31 runs,Belfast,18-Jul-22,1673
Finland,Croatia,Finland,5 wickets,Vantaa,18-Jul-22,1672
Isle of Man,Turkey,Isle of Man,74 runs,Kerava,18-Jul-22,1671
Cyprus,Serbia,Serbia,4 wickets,Kerava,18-Jul-22,1670
Greece,Sweden,Sweden,107 runs,Vantaa,18-Jul-22,1669
P.N.G.,U.S.A.,P.N.G.,5 runs,Bulawayo,17-Jul-22,1668
Zimbabwe,Netherlands,Zimbabwe,37 runs,Bulawayo,17-Jul-22,1667
Hong Kong,Uganda,Uganda,4 runs,Bulawayo,17-Jul-22,1666
Jersey,Singapore,Jersey,6 wickets,Bulawayo,17-Jul-22,1665
Croatia,Italy,Italy,166 runs,Kerava,16-Jul-22,1664
Cyprus,Turkey,Cyprus,135 runs,Vantaa,16-Jul-22,1663
Finland,Greece,Finland,37 runs,Kerava,16-Jul-22,1662
Romania,Serbia,Romania,31 runs,Vantaa,16-Jul-22,1661
Croatia,Greece,Croatia,3 runs,Vantaa,15-Jul-22,1660
Isle of Man,Romania,Isle of Man,8 wickets,Kerava,15-Jul-22,1659
Netherlands,U.S.A.,Netherlands,7 wickets,Bulawayo,15-Jul-22,1658
Zimbabwe,P.N.G.,Zimbabwe,27 runs,Bulawayo,15-Jul-22,1657
Italy,Sweden,Italy,91 runs,Vantaa,15-Jul-22,1656
Serbia,Turkey,Serbia,7 wickets,Kerava,15-Jul-22,1655
Hong Kong,Singapore,Hong Kong,7 wickets,Bulawayo,15-Jul-22,1654
Jersey,Uganda,Uganda,5 runs,Bulawayo,15-Jul-22,1653
Jersey,Singapore,Jersey,13 runs,Bulawayo,14-Jul-22,1652
Zimbabwe,U.S.A.,Zimbabwe,46 runs,Bulawayo,14-Jul-22,1651
Hong Kong,P.N.G.,Hong Kong,2 wickets,Bulawayo,14-Jul-22,1650
Netherlands,Uganda,Netherlands,97 runs,Bulawayo,14-Jul-22,1649
Finland,Italy,Italy,5 wickets,Kerava,13-Jul-22,1648
Isle of Man,Serbia,Isle of Man,68 runs,Vantaa,13-Jul-22,1647
Croatia,Sweden,Sweden,8 wickets,Kerava,13-Jul-22,1646
Cyprus,Romania,Cyprus,20 runs,Vantaa,13-Jul-22,1645
Finland,Sweden,Finland,12 runs,Vantaa,12-Jul-22,1644
Romania,Turkey,Romania,51 runs,Kerava,12-Jul-22,1643
Hong Kong,Netherlands,Netherlands,7 wickets,Bulawayo,12-Jul-22,1642
P.N.G.,Uganda,P.N.G.,8 wickets,Bulawayo,12-Jul-22,1641
Cyprus,Isle of Man,Isle of Man,8 wickets,Kerava,12-Jul-22,1640
Greece,Italy,Italy,9 wickets,Vantaa,12-Jul-22,1639
Singapore,U.S.A.,U.S.A.,132 runs,Bulawayo,12-Jul-22,1638
Zimbabwe,Jersey,Zimbabwe,23 runs,Bulawayo,12-Jul-22,1637
Hong Kong,Uganda,Uganda,2 wickets,Bulawayo,11-Jul-22,1636
Netherlands,P.N.G.,Netherlands,52 runs,Bulawayo,11-Jul-22,1635
Jersey,U.S.A.,U.S.A.,8 wickets,Bulawayo,11-Jul-22,1634
Zimbabwe,Singapore,Zimbabwe,111 runs,Bulawayo,11-Jul-22,1633
Malaysia,Bhutan,Malaysia,9 wickets,Bangi,11-Jul-22,1632
England,India,England,17 runs,Nottingham,10-Jul-22,1631
Czech Rep.,Austria,Czech Rep.,6 wickets,Vinor,10-Jul-22,1630
Czech Rep.,Luxembourg,Czech Rep.,36 runs,Vinor,10-Jul-22,1629
England,India,India,49 runs,Birmingham,9-Jul-22,1628
Austria,Luxembourg,Austria,35 runs,Vinor,9-Jul-22,1627
Serbia,Bulgaria,Bulgaria,95 runs,Belgrade,9-Jul-22,1626
Czech Rep.,Austria,Austria,4 wickets,Vinor,9-Jul-22,1625
Serbia,Bulgaria,Serbia,8 wickets,Belgrade,9-Jul-22,1624
Bhutan,Thailand,Bhutan,28 runs,Bangi,9-Jul-22,1623
Malaysia,Maldives,Malaysia,94 runs,Bangi,9-Jul-22,1622
Serbia,Bulgaria,Serbia,7 wickets,Belgrade,8-Jul-22,1621
Czech Rep.,Luxembourg,Czech Rep.,5 wickets,Vinor,8-Jul-22,1620
Austria,Luxembourg,Austria,5 wickets,Vinor,8-Jul-22,1619
Maldives,Thailand,Maldives,41 runs,Bangi,8-Jul-22,1618
West Indies,Bangladesh,West Indies,5 wickets,Providence,7-Jul-22,1617
England,India,India,50 runs,Southampton,7-Jul-22,1616
Malaysia,Thailand,Malaysia,9 wickets,Bangi,7-Jul-22,1615
Bhutan,Maldives,Bhutan,2 runs,Bangi,7-Jul-22,1614
Malaysia,Maldives,Malaysia,8 wickets,Bangi,6-Jul-22,1613
Bhutan,Thailand,Bhutan,6 wickets,Bangi,6-Jul-22,1612
Denmark,Portugal,Denmark,9 wickets,Waterloo,4-Jul-22,1611
Belgium,Spain,Belgium,5 wickets,Waterloo,4-Jul-22,1610
Bhutan,Maldives,Bhutan,6 runs,Bangi,4-Jul-22,1609
Malaysia,Thailand,Malaysia,9 wickets,Bangi,4-Jul-22,1608
West Indies,Bangladesh,West Indies,35 runs,Roseau,3-Jul-22,1607
Gibraltar,Malta,Malta,7 wickets,Waterloo,3-Jul-22,1606
Singapore,P.N.G.,P.N.G.,3 wickets,Singapore,3-Jul-22,1605
Hungary,Israel,Israel,12 runs,Waterloo,3-Jul-22,1604
Malaysia,Bhutan,Malaysia,39 runs,Bangi,3-Jul-22,1603
Maldives,Thailand,Maldives,7 wickets,Bangi,3-Jul-22,1602
West Indies,Bangladesh,no result,-,Roseau,2-Jul-22,1601
Denmark,Spain,Denmark,41 runs,Waterloo,2-Jul-22,1600
Singapore,P.N.G.,Singapore,18 runs,Singapore,2-Jul-22,1599
Belgium,Portugal,Portugal,8 wickets,Waterloo,2-Jul-22,1598
Malaysia,Bhutan,Malaysia,155 runs,Bangi,2-Jul-22,1597
Belgium,Denmark,Belgium,12 runs,Waterloo,1-Jul-22,1596
Israel,Malta,Malta,16 runs,Gent,1-Jul-22,1595
Gibraltar,Hungary,Gibraltar,4 wickets,Waterloo,1-Jul-22,1594
Portugal,Spain,Spain,8 wickets,Gent,1-Jul-22,1593
Singapore,Malaysia,Malaysia,5 wickets,Singapore,30-Jun-22,1592
Belgium,Hungary,Belgium,2 wickets,Waterloo,29-Jun-22,1591
Israel,Spain,Spain,7 wickets,Gent,29-Jun-22,1590
Singapore,Malaysia,Malaysia,23 runs,Singapore,29-Jun-22,1589
Denmark,Gibraltar,Denmark,132 runs,Waterloo,29-Jun-22,1588
Malta,Portugal,Portugal,11 runs,Gent,29-Jun-22,1587
Ireland,India,India,4 runs,Dublin (Malahide),28-Jun-22,1586
Denmark,Hungary,Denmark,88 runs,Gent,28-Jun-22,1585
Israel,Portugal,Portugal,47 runs,Waterloo,28-Jun-22,1584
Singapore,Malaysia,Singapore,4 wickets,Singapore,28-Jun-22,1583
Belgium,Gibraltar,Belgium,7 wickets,Gent,28-Jun-22,1582
Malta,Spain,Spain,6 wickets,Waterloo,28-Jun-22,1581
Ireland,India,India,7 wickets,Dublin (Malahide),26-Jun-22,1580
Bulgaria,Serbia,Bulgaria,6 wickets,Sofia,26-Jun-22,1579
Bulgaria,Serbia,Bulgaria,40 runs,Sofia,25-Jun-22,1578
Bulgaria,Serbia,Bulgaria,5 wickets,Sofia,25-Jun-22,1577
Bulgaria,Serbia,Bulgaria,6 wickets,Sofia,24-Jun-22,1576
India,South Africa,no result,-,Bengaluru,19-Jun-22,1575
Finland,Estonia,Finland,11 runs,Kerava,19-Jun-22,1574
Finland,Estonia,Finland,23 runs,Kerava,19-Jun-22,1573
India,South Africa,India,82 runs,Rajkot,17-Jun-22,1572
India,South Africa,India,48 runs,Visakhapatnam,14-Jun-22,1571
Zimbabwe,Afghanistan,Afghanistan,35 runs,Harare,14-Jun-22,1570
India,South Africa,South Africa,4 wickets,Cuttack,12-Jun-22,1569
Zimbabwe,Afghanistan,Afghanistan,21 runs,Harare,12-Jun-22,1568
Germany,Austria,Germany,3 wickets,Krefeld,12-Jun-22,1567
Belgium,Malta,Belgium,122 runs,Waterloo,12-Jun-22,1566
Germany,Sweden,Germany,29 runs,Krefeld,11-Jun-22,1565
Sri Lanka,Australia,Sri Lanka,4 wickets,Pallekele,11-Jun-22,1564
Luxembourg,Switzerland,Switzerland,78 runs,Walferdange,11-Jun-22,1563
Belgium,Malta,Belgium,84 runs,Gent,11-Jun-22,1562
Zimbabwe,Afghanistan,Afghanistan,6 wickets,Harare,11-Jun-22,1561
Austria,Sweden,Austria,1 run,Krefeld,11-Jun-22,1560
Luxembourg,Switzerland,Luxembourg,18 runs,Walferdange,11-Jun-22,1559
Belgium,Malta,Belgium,111 runs,Gent,11-Jun-22,1558
Austria,Sweden,Austria,3 runs,Krefeld,10-Jun-22,1557
Germany,Austria,Austria,38 runs,Krefeld,10-Jun-22,1556
Germany,Sweden,Germany,4 wickets,Krefeld,9-Jun-22,1555
India,South Africa,South Africa,7 wickets,Delhi,9-Jun-22,1554
Germany,Austria,Germany,54 runs,Krefeld,9-Jun-22,1553
Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),8-Jun-22,1552
Sri Lanka,Australia,Australia,10 wickets,Colombo (RPS),7-Jun-22,1551
Austria,Hungary,Hungary,4 wickets,Lower Austria,5-Jun-22,1550
Austria,Hungary,no result,-,Lower Austria,4-Jun-22,1549
Austria,Hungary,Austria,105 runs,Lower Austria,4-Jun-22,1548
Zimbabwe,Namibia,Namibia,32 runs,Bulawayo,24-May-22,1547
Zimbabwe,Namibia,Namibia,6 wickets,Bulawayo,22-May-22,1546
Guernsey,Jersey,Jersey,37 runs,Castel,21-May-22,1545
Zimbabwe,Namibia,Zimbabwe,8 wickets,Bulawayo,21-May-22,1544
Guernsey,Jersey,Jersey,60 runs,Castel,21-May-22,1543
Guernsey,Jersey,Jersey,37 runs,St Peter Port,20-May-22,1542
Zimbabwe,Namibia,Namibia,8 wickets,Bulawayo,19-May-22,1541
Zimbabwe,Namibia,Zimbabwe,7 runs,Bulawayo,17-May-22,1540
Malta,Romania,Romania,9 runs,Marsa,15-May-22,1539
Czech Rep.,Hungary,Czech Rep.,70 runs,Marsa,15-May-22,1538
Bulgaria,Gibraltar,Bulgaria,5 wickets,Marsa,15-May-22,1537
Malta,Bulgaria,Malta,6 wickets,Marsa,14-May-22,1536
Gibraltar,Romania,Romania,8 wickets,Marsa,14-May-22,1535
Czech Rep.,Hungary,Czech Rep.,7 wickets,Marsa,14-May-22,1534
Bulgaria,Romania,Romania,8 wickets,Marsa,13-May-22,1533
Czech Rep.,Romania,Romania,26 runs,Marsa,13-May-22,1532
Bulgaria,Gibraltar,Gibraltar,21 runs,Marsa,13-May-22,1531
Hungary,Romania,Hungary,6 wickets,Marsa,12-May-22,1530
Bulgaria,Czech Rep.,Czech Rep.,88 runs,Marsa,12-May-22,1529
Malta,Czech Rep.,Malta,2 runs,Marsa,12-May-22,1528
Bulgaria,Hungary,Hungary,5 runs,Marsa,11-May-22,1527
Czech Rep.,Gibraltar,Czech Rep.,40 runs,Marsa,11-May-22,1526
Malta,Romania,Malta,5 wickets,Marsa,11-May-22,1525
Gibraltar,Hungary,Hungary,4 wickets,Marsa,10-May-22,1524
Malta,Hungary,Malta,45 runs,Marsa,10-May-22,1523
Malta,Gibraltar,Malta,5 wickets,Marsa,10-May-22,1522
Denmark,Finland,Denmark,53 runs,Brondby,8-May-22,1521
Denmark,Finland,Denmark,137 runs,Brondby,7-May-22,1520
Denmark,Finland,Finland,3 wickets,Brondby,7-May-22,1519
Spain,Norway,Spain,41 runs,Almeria,1-May-22,1518
Spain,Guernsey,Guernsey,8 wickets,Almeria,1-May-22,1517
Spain,Guernsey,Spain,8 wickets,Almeria,30-Apr-22,1516
Guernsey,Norway,Guernsey,8 wickets,Almeria,30-Apr-22,1515
Spain,Norway,Spain,51 runs,Almeria,30-Apr-22,1514
Guernsey,Norway,Norway,37 runs,Almeria,29-Apr-22,1513
Cayman,Bahamas,Cayman,42 runs,George Town,17-Apr-22,1512
Cayman,Bahamas,Cayman,65 runs,George Town,16-Apr-22,1511
Cayman,Bahamas,Cayman,7 wickets,George Town,16-Apr-22,1510
Cayman,Bahamas,Cayman,15 runs,George Town,14-Apr-22,1509
Cayman,Bahamas,Cayman,8 wickets,George Town,13-Apr-22,1508
Namibia,Uganda,Namibia,52 runs,Windhoek,10-Apr-22,1507
Namibia,Uganda,Uganda,7 wickets,Windhoek,9-Apr-22,1506
Namibia,Uganda,Namibia,8 wickets,Windhoek,8-Apr-22,1505
Pakistan,Australia,Australia,3 wickets,Lahore,5-Apr-22,1504
Nepal,P.N.G.,Nepal,50 runs,Kirtipur,4-Apr-22,1503
Nepal,Malaysia,Nepal,85 runs,Kirtipur,2-Apr-22,1502
Malaysia,P.N.G.,P.N.G.,8 wickets,Kirtipur,1-Apr-22,1501
Nepal,P.N.G.,Nepal,37 runs,Kirtipur,31-Mar-22,1500
Nepal,Malaysia,Nepal,6 wickets,Kirtipur,30-Mar-22,1499
Malaysia,P.N.G.,Malaysia,8 runs,Kirtipur,29-Mar-22,1498
Nepal,P.N.G.,Nepal,15 runs,Kirtipur,28-Mar-22,1497
Bangladesh,Afghanistan,Afghanistan,8 wickets,Mirpur,5-Mar-22,1496
Bangladesh,Afghanistan,Bangladesh,61 runs,Mirpur,3-Mar-22,1495
India,Sri Lanka,India,6 wickets,Dharamsala,27-Feb-22,1494
India,Sri Lanka,India,7 wickets,Dharamsala,26-Feb-22,1493
India,Sri Lanka,India,62 runs,Lucknow,24-Feb-22,1492
Ireland,U.A.E.,U.A.E.,7 wickets,Al Amerat,24-Feb-22,1491
Oman,Nepal,Nepal,9 wickets,Al Amerat,24-Feb-22,1490
Bahrain,Canada,Canada,7 wickets,Al Amerat,24-Feb-22,1489
Germany,Philippines,Germany,9 wickets,Al Amerat,24-Feb-22,1488
Nepal,U.A.E.,U.A.E.,68 runs,Al Amerat,22-Feb-22,1487
Oman,Ireland,Ireland,56 runs,Al Amerat,22-Feb-22,1486
Bahrain,Philippines,Bahrain,91 runs,Al Amerat,22-Feb-22,1485
Canada,Germany,Canada,6 wickets,Al Amerat,22-Feb-22,1484
Canada,Nepal,Nepal,8 wickets,Al Amerat,21-Feb-22,1483
Oman,Philippines,Oman,9 wickets,Al Amerat,21-Feb-22,1482
Bahrain,U.A.E.,Bahrain,2 runs,Al Amerat,21-Feb-22,1481
Germany,Ireland,Ireland,7 wickets,Al Amerat,21-Feb-22,1480
India,West Indies,India,17 runs,Eden Gardens,20-Feb-22,1479
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,20-Feb-22,1478
Bahrain,Ireland,Ireland,21 runs,Al Amerat,19-Feb-22,1477
Germany,U.A.E.,U.A.E.,24 runs,Al Amerat,19-Feb-22,1476
Nepal,Philippines,Nepal,136 runs,Al Amerat,19-Feb-22,1475
Oman,Canada,Oman,9 wickets,Al Amerat,19-Feb-22,1474
India,West Indies,India,8 runs,Eden Gardens,18-Feb-22,1473
Bahrain,Germany,Bahrain,6 wickets,Al Amerat,18-Feb-22,1472
Ireland,U.A.E.,U.A.E.,18 runs,Al Amerat,18-Feb-22,1471
Australia,Sri Lanka,Australia,6 wickets,Melbourne,18-Feb-22,1470
Canada,Philippines,Canada,118 runs,Al Amerat,18-Feb-22,1469
Oman,Nepal,Nepal,39 runs,Al Amerat,18-Feb-22,1468
India,West Indies,India,6 wickets,Eden Gardens,16-Feb-22,1467
Australia,Sri Lanka,Australia,6 wickets,Canberra,15-Feb-22,1466
Ireland,Nepal,Ireland,16 runs,Al Amerat,14-Feb-22,1465
Oman,U.A.E.,Oman,7 wickets,Al Amerat,14-Feb-22,1464
Australia,Sri Lanka,tied,-,Sydney,13-Feb-22,1463
Ireland,U.A.E.,U.A.E.,13 runs,Al Amerat,13-Feb-22,1462
Oman,Ireland,Ireland,9 wickets,Al Amerat,12-Feb-22,1461
Nepal,U.A.E.,U.A.E.,25 runs,Al Amerat,12-Feb-22,1460
Oman,Nepal,Nepal,6 wickets,Al Amerat,11-Feb-22,1459
Australia,Sri Lanka,Australia,20 runs,Sydney,11-Feb-22,1458
West Indies,England,West Indies,17 runs,Bridgetown,30-Jan-22,1457
West Indies,England,England,34 runs,Bridgetown,29-Jan-22,1456
West Indies,England,West Indies,20 runs,Bridgetown,26-Jan-22,1455
West Indies,England,England,1 run,Bridgetown,23-Jan-22,1454
West Indies,England,West Indies,9 wickets,Bridgetown,22-Jan-22,1453
U.S.A.,Ireland,Ireland,9 runs,Lauderhill,23-Dec-21,1452
U.S.A.,Ireland,U.S.A.,26 runs,Lauderhill,22-Dec-21,1451
Pakistan,West Indies,Pakistan,7 wickets,Karachi,16-Dec-21,1450
Pakistan,West Indies,Pakistan,9 runs,Karachi,14-Dec-21,1449
Pakistan,West Indies,Pakistan,63 runs,Karachi,13-Dec-21,1448
Bangladesh,Pakistan,Pakistan,5 wickets,Mirpur,22-Nov-21,1447
India,New Zealand,India,73 runs,Eden Gardens,21-Nov-21,1446
Kenya,Uganda,Uganda,6 wickets,Rwanda,20-Nov-21,1445
Nigeria,Tanzania,Tanzania,69 runs,Kigali,20-Nov-21,1444
Bangladesh,Pakistan,Pakistan,8 wickets,Mirpur,20-Nov-21,1443
Tanzania,Uganda,Uganda,6 wickets,Rwanda,20-Nov-21,1442
Kenya,Nigeria,Kenya,60 runs,Kigali,20-Nov-21,1441
India,New Zealand,India,7 wickets,Ranchi,19-Nov-21,1440
Bangladesh,Pakistan,Pakistan,4 wickets,Mirpur,19-Nov-21,1439
Kenya,Tanzania,Kenya,7 wickets,Rwanda,18-Nov-21,1438
Nigeria,Uganda,Uganda,8 wickets,Kigali,18-Nov-21,1437
Tanzania,Uganda,Uganda,8 wickets,Rwanda,18-Nov-21,1436
Kenya,Nigeria,Kenya,8 wickets,Kigali,18-Nov-21,1435
India,New Zealand,India,5 wickets,Jaipur,17-Nov-21,1434
Nigeria,Uganda,Uganda,12 runs,Rwanda,17-Nov-21,1433
Kenya,Tanzania,Tanzania,49 runs,Kigali,17-Nov-21,1432
Nigeria,Tanzania,Tanzania,6 wickets,Rwanda,17-Nov-21,1431
Kenya,Uganda,Kenya,1 run,Kigali,17-Nov-21,1430
Argentina,Bermuda,Bermuda,3 wickets,Coolidge,14-Nov-21,1429
Australia,New Zealand,Australia,8 wickets,Dubai (DICS),14-Nov-21,1428
Canada,Panama,Canada,208 runs,Coolidge,14-Nov-21,1427
Bahamas,Panama,Panama,26 runs,Coolidge,13-Nov-21,1426
Argentina,Canada,Canada,9 wickets,North Sound,13-Nov-21,1425
Bahamas,U.S.A.,U.S.A.,10 wickets,Coolidge,13-Nov-21,1424
Belize,Bermuda,Bermuda,7 wickets,North Sound,13-Nov-21,1423
Bermuda,Panama,Bermuda,86 runs,Coolidge,11-Nov-21,1422
Argentina,U.S.A.,U.S.A.,8 wickets,North Sound,11-Nov-21,1421
Australia,Pakistan,Australia,5 wickets,Dubai (DICS),11-Nov-21,1420
Bermuda,Canada,Canada,46 runs,Coolidge,11-Nov-21,1419
Bahamas,Belize,Bahamas,11 runs,North Sound,11-Nov-21,1418
Canada,U.S.A.,tied,-,Coolidge,10-Nov-21,1417
Argentina,Panama,Argentina,45 runs,North Sound,10-Nov-21,1416
England,New Zealand,New Zealand,5 wickets,Abu Dhabi,10-Nov-21,1415
Bahamas,Bermuda,Bermuda,140 runs,Coolidge,10-Nov-21,1414
Argentina,Belize,Argentina,59 runs,North Sound,10-Nov-21,1413
Belize,Panama,Belize,12 runs,Coolidge,8-Nov-21,1412
Bermuda,U.S.A.,U.S.A.,23 runs,North Sound,8-Nov-21,1411
India,Namibia,India,9 wickets,Dubai (DICS),8-Nov-21,1410
Belize,Canada,Canada,145 runs,Coolidge,8-Nov-21,1409
Argentina,Bahamas,Bahamas,12 runs,North Sound,8-Nov-21,1408
Panama,U.S.A.,U.S.A.,9 wickets,Coolidge,7-Nov-21,1407
Pakistan,Scotland,Pakistan,72 runs,Sharjah,7-Nov-21,1406
Belize,U.S.A.,U.S.A.,10 wickets,Coolidge,7-Nov-21,1405
Bahamas,Canada,Canada,122 runs,North Sound,7-Nov-21,1404
Botswana,Tanzania,Tanzania,3 runs,Rwanda,7-Nov-21,1403
Afghanistan,New Zealand,New Zealand,8 wickets,Abu Dhabi,7-Nov-21,1402
Cameroon,Sierra Leone,Sierra Leone,6 wickets,Rwanda,7-Nov-21,1401
England,South Africa,South Africa,10 runs,Sharjah,6-Nov-21,1400
Cameroon,Tanzania,Tanzania,178 runs,Rwanda,6-Nov-21,1399
Australia,West Indies,Australia,8 wickets,Abu Dhabi,6-Nov-21,1398
Botswana,Mozambique,Botswana,52 runs,Rwanda,6-Nov-21,1397
India,Scotland,India,8 wickets,Dubai (DICS),5-Nov-21,1396
Mozambique,Sierra Leone,Sierra Leone,5 wickets,Rwanda,5-Nov-21,1395
